10sl0t1,Packet\ sent\ each\ 10s & \ QoS level 1
0.248462,0.30869
0.244887,0.228953
0.231682,0.236464
0.277245,0.246344
0.238394,0.236367
0.288166,0.226716
0.233606,0.282322
0.260142,0.240044
0.333635,0.234067
0.280114,0.266878
0.237366,0.234301
0.266963,0.232693
0.288096,0.239432
0.246415,0.453816
0.251064,0.214798
0.26791 ,0.248208
0.230451,0.242708
0.254109,0.23193 
0.271488,0.287053
0.23909 ,0.298202
0.233223,0.215764
0.26943 ,0.275059
0.243242,0.254458
0.269269,0.222156
0.250554,0.263918
0.246965,0.230572
0.307589,0.295588
0.252619,0.28806 
0.238394,0.249259
0.255249,0.213501
0.229615,0.228639
0.50373 ,0.259366
0.230247,0.264801
0.262624,0.227146
0.322147,0.323846
0.270544,0.241352
0.233676,0.285292
0.249629,0.270975
0.398216,0.239758
0.232014,0.244333
0.292636,0.262829
0.261741,0.222011
0.245711,0.242902
0.238747,0.220515
0.328914,0.286907
0.235192,0.264654
0.226474,0.259978
0.283321,0.229821
0.268145,0.237116
0.254878,0.217939
0.261697,0.235423
0.265123,0.259198
0.233944,0.221324
0.288506,0.570967
0.251357,0.266803
0.281722,0.250807
0.24239 ,0.220834
0.244063,0.247925
0.270696,0.217731
0.236356,0.251178
0.247171,0.426844
0.230003,0.220186
0.232834,0.236678
0.22962 ,0.269948
0.230776,0.240033
0.295283,0.218448
0.242493,0.396273
0.270654,0.268179
0.259678,0.262338
0.265094,0.254103
0.334997,0.230715
0.266352,0.32337 
0.262036,0.251799
0.265776,0.376652
0.343615,0.295526
0.318652,0.279485
0.24652 ,0.269646
0.235099,0.367663
0.319856,0.216642
0.278356,0.269178
0.311031,0.260053
0.337357,0.229092
0.254874,0.217472
0.232361,0.220597
0.240174,0.301851
0.306423,0.410214
0.256543,0.258732
0.252939,0.294689
0.287409,0.287409
0.282513,0.282513
0.240058,0.240058
0.257446,0.257446
0.240257,0.240257
0.219289,0.219289
0.237596,0.237596
0.267581,0.267581
0.250808,0.250808
0.215371,0.215371
0.265748,0.265748
