10sl1t1, Packet sent each 10s with QoS level 2
0.330543,0.259913
0.268179,0.280891
0.268116,0.28921
0.276185,0.251436
0.257325,0.245323
0.261363,0.246463
0.476578,0.225711
0.31604 ,0.216817
0.375484,0.31201
0.383304,0.273906
0.232356,0.276793
0.292819,0.27465
0.449531,0.276626
0.282927,0.237859
0.248812,0.248549
0.288055,0.222549
0.272236,0.222267
0.381649,0.236364
0.286043,0.318346
0.261155,0.233311
0.251337,0.236679
0.310973,0.238239
0.232008,0.346736
0.326163,0.223353
0.307289,0.302443
0.310892,0.253429
0.282195,0.246771
0.261989,0.218757
0.296599,0.246252
0.291158,0.236133
0.252411,0.247043
0.338042,0.245601
0.242008,0.234332
0.314515,0.251219
0.257826,0.32219
0.249523,0.283191
0.258348,0.272612
0.270827,0.270463
0.24383 ,0.274813
0.257768,0.250282
0.248824,0.237408
0.252654,0.570963
0.248512,0.261078
0.268852,0.254767
0.269601,0.26492
0.571352,0.248604
0.246627,0.224898
0.246653,0.27847
0.508639,0.239288
0.25394 ,0.2235
0.264267,0.26828
0.231998,0.247036
0.230899,0.271704
0.322126,0.278858
0.312177,0.229248
0.249611,0.252912
0.293507,0.258308
0.259619,0.233275
0.246197,0.262425
0.267015,0.27104
0.261283,0.231413
0.344781,0.252348
0.367703,0.233611
0.249057,0.231527
0.252531,0.277766
0.251677,0.217497
0.294288,0.254207
0.309336,0.267094
0.231565,0.251353
0.240319,0.267818
0.268445,0.226923
1.070986,0.24404
0.244027,0.220182
0.240039,0.263153
0.274384,0.231974
0.331612,0.254821
0.238083,0.245268
0.307019,0.221363
0.257701,0.244923
0.257522,0.317038
0.23099 ,0.226671
0.315607,0.218143
0.251715,0.271165
0.255044,0.22048
0.236828,0.277446
0.257678,0.229185
0.297226,0.230633
0.356624,0.266239
0.249218,0.223933
0.271511,0.254574
0.289346,0.237819
0.230508,0.285229
0.426219,0.228724
0.264688,0.259848
0.22805 ,0.251126
0.265056,0.241037
0.242785,0.277983
0.259737,0.28082
0.240954,0.239416
