5sl0t1,5sl0t2
0.233457,0.286696
0.291283,0.311838
0.318599,0.346444
0.245248,0.270581
0.23551 ,0.233444
0.331372,0.272685
0.223518,0.376278
0.280788,0.264335
0.273462,0.233062
0.516629,0.233056
0.256087,0.239564
0.360116,0.296163
0.221115,0.239504
0.224519,0.3849
0.229555,0.260959
0.287323,0.244601
0.322698,0.445036
0.253331,0.284283
0.224743,0.264715
0.277699,0.231609
0.282811,0.275431
0.257708,0.2601
0.271954,0.248981
0.263787,0.235262
0.263681,0.264734
0.325093,0.25334
0.340015,0.281481
0.239833,0.242177
0.355892,0.233752
0.287629,0.236392
0.259992,0.248952
0.254034,0.228673
0.297867,0.339535
0.258702,0.238907
0.276216,0.275673
0.290887,0.22481
0.276294,0.243131
0.292972,0.371901
0.305947,0.269222
0.251211,0.275541
0.26085 ,0.244961
0.310949,0.238397
0.305083,0.253678
0.37895 ,0.274704
0.243032,0.24445
0.247537,0.277784
0.252791,0.258654
0.28934 ,0.250734
0.283217,0.239234
0.23505 ,0.290258
0.274327,0.2653
0.426868,0.269911
0.23777 ,0.251744
0.271614,0.2609
0.26489 ,0.234627
0.288615,0.244135
0.270793,0.239909
0.274152,0.241493
0.239329,0.274312
0.268166,0.245733
0.278921,0.239685
0.245692,0.339287
0.227149,0.267698
0.283979,0.281574
0.250517,0.275121
0.235402,0.270309
0.280039,0.217592
0.258153,0.301126
0.298738,0.236656
0.320174,0.257791
0.267935,0.251575
0.255826,0.233303
0.373828,0.23667
0.266406,0.28041
0.306494,0.311369
0.304406,0.234157
0.262995,0.338465
0.233355,0.272075
0.249084,0.284972
0.346677,0.248942
0.286076,0.241991
0.336901,0.257344
0.227337,0.285931
0.288235,0.24679
0.257741,0.27704
0.256109,0.321221
0.302844,0.245653
0.255644,0.29717
0.227494,0.305773
0.221778,0.235089
0.246165,0.240209
0.227284,0.242528
0.265794,0.256968
0.241691,0.262982
0.256119,0.293467
0.223506,0.242797
0.298571,0.239159
0.236019,0.396089
0.380134,0.267358
